Ensemble HUGO OMIM_ID
ENSG00000173369 C1QB 613652
ENSG00000133216 EPHB2 603688
ENSG00000133216 EPHB2 176807
ENSG00000004487 KDM1A NA
ENSG00000142676 RPL11 612562
ENSG00000011007 TCEB3 NA
ENSG00000057757 PITHD1 NA
ENSG00000158055 GRHL3 NA
ENSG00000117602 RCAN3 NA
ENSG00000133226 SRRM1 NA
ENSG00000169504 CLIC4 NA
ENSG00000157978 LDLRAP1 603813
ENSG00000117643 MAN1C1 NA
ENSG00000162430 SEPN1 602771
ENSG00000158008 EXTL1 NA
ENSG00000175087 PDIK1L NA
ENSG00000142684 ZNF593 NA
ENSG00000142675 CNKSR1 NA
ENSG00000169442 CD52 NA
ENSG00000117682 DHDDS 613861
ENSG00000198830 HMGN2 NA
ENSG00000117676 RPS6KA1 NA
ENSG00000117713 ARID1A 614607
ENSG00000060642 PIGV 239300
ENSG00000204160 ZDHHC18 NA
ENSG00000175793 SFN NA
ENSG00000090273 NUDC NA
ENSG00000186501 TMEM222 NA
ENSG00000142765 SYTL1 NA
ENSG00000117758 STX12 NA
ENSG00000117751 PPP1R8 NA
ENSG00000130770 ATPIF1 NA
ENSG00000130766 SESN2 NA
ENSG00000130772 MED18 NA
ENSG00000180098 TRNAU1AP NA
ENSG00000162419 GMEB1 NA
ENSG00000198492 YTHDF2 NA
ENSG00000116329 OPRD1 NA
ENSG00000159023 EPB41 611804
ENSG00000159023 EPB41 266140
ENSG00000060656 PTPRU NA
ENSG00000121766 ZCCHC17 NA
ENSG00000142910 TINAGL1 NA
ENSG00000121764 HCRTR1 NA
ENSG00000121774 KHDRBS1 NA
ENSG00000121775 TMEM39B NA
ENSG00000025800 KPNA6 NA
ENSG00000084652 TXLNA NA
ENSG00000084623 EIF3I NA
ENSG00000182866 LCK NA
ENSG00000116478 HDAC1 NA
ENSG00000162521 RBBP4 NA
ENSG00000121905 HPCA NA
ENSG00000160094 ZNF362 NA
ENSG00000121903 ZSCAN20 NA
ENSG00000142698 C1orf94 NA
ENSG00000146463 ZMYM4 NA
ENSG00000020129 NCDN NA
ENSG00000134698 AGO4 NA
ENSG00000092847 AGO1 NA
ENSG00000126070 AGO3 NA
ENSG00000092850 TEKT2 NA
ENSG00000116863 ADPRHL2 NA
ENSG00000116871 MAP7D1 NA
ENSG00000054118 THRAP3 NA
ENSG00000163874 ZC3H12A NA
ENSG00000134690 CDCA8 NA
ENSG00000183520 UTP11L NA
ENSG00000168653 NDUFS5 NA
ENSG00000127603 MACF1 NA
ENSG00000116985 BMP8B NA
ENSG00000084072 PPIE NA
ENSG00000131236 CAP1 NA
ENSG00000117000 RLF NA
ENSG00000084073 ZMPSTE24 608612
ENSG00000084073 ZMPSTE24 275210
ENSG00000066136 NFYC NA
ENSG00000117013 KCNQ4 600101
ENSG00000171793 CTPS1 NA
ENSG00000044012 GUCA2B NA
ENSG00000164008 C1orf50 NA
ENSG00000164010 ERMAP 111750
ENSG00000164010 ERMAP 111620
ENSG00000164011 ZNF691 NA
ENSG00000066056 TIE1 NA
ENSG00000117400 MPL 604498
ENSG00000117400 MPL 601977
ENSG00000117400 MPL 254450
ENSG00000117399 CDC20 NA
ENSG00000142949 PTPRF NA
ENSG00000126091 ST3GAL3 615006
ENSG00000126091 ST3GAL3 611090
ENSG00000117408 IPO13 NA
ENSG00000132768 DPH2 NA
ENSG00000117410 ATP6V0B NA
ENSG00000159214 CCDC24 NA
ENSG00000178028 DMAP1 NA
ENSG00000187147 RNF220 NA
ENSG00000142945 KIF2C NA
ENSG00000173846 PLK3 NA
ENSG00000126088 UROD 176100
ENSG00000132773 TOE1 NA
ENSG00000117448 AKR1A1 NA
ENSG00000132780 NASP NA
ENSG00000086015 MAST2 NA
ENSG00000085999 RAD54L NA
ENSG00000117481 NSUN4 NA
ENSG00000117480 FAAH NA
ENSG00000197587 DMBX1 NA
ENSG00000142973 CYP4B1 NA
ENSG00000162368 CMPK1 NA
ENSG00000187140 FOXD3 607836
ENSG00000162374 ELAVL4 NA
ENSG00000123080 CDKN2C NA
ENSG00000123091 RNF11 NA
ENSG00000117859 OSBPL9 NA
ENSG00000157077 ZFYVE9 NA
ENSG00000123739 PLA2G12A NA
ENSG00000134748 PRPF38A NA
ENSG00000116157 GPX7 614266
ENSG00000162378 ZYG11B NA
ENSG00000116171 SCP2 613724
ENSG00000157184 CPT2 614212
ENSG00000157184 CPT2 608836
ENSG00000157184 CPT2 600649
ENSG00000157184 CPT2 255110
ENSG00000143006 DMRTB1 NA
ENSG00000116221 MRPL37 NA
ENSG00000184313 MROH7 NA
ENSG00000162399 BSND 602522
ENSG00000169174 PCSK9 603776
ENSG00000162409 PRKAA2 NA
ENSG00000157131 C8A 613790
ENSG00000172456 FGGY 105400
ENSG00000134709 HOOK1 NA
ENSG00000162599 NFIA NA
ENSG00000132849 INADL NA
ENSG00000162607 USP1 NA
ENSG00000132855 ANGPTL3 605019
ENSG00000088035 ALG6 603147
ENSG00000079739 PGM1 614921
ENSG00000079739 PGM1 612934
ENSG00000185483 ROR1 NA
ENSG00000158966 CACHD1 NA
ENSG00000162437 RAVER2 NA
ENSG00000116675 DNAJC6 NA
ENSG00000184588 PDE4B NA
ENSG00000198160 MIER1 NA
ENSG00000162594 IL23R 612261
ENSG00000162594 IL23R 605606
ENSG00000081985 IL12RB2 NA
ENSG00000116717 GADD45A NA
ENSG00000033122 LRRC7 NA
ENSG00000116754 SRSF11 NA
ENSG00000197568 HHLA3 NA
ENSG00000116761 CTH 219500
ENSG00000116783 TNNI3K NA
ENSG00000162623 TYW3 NA
ENSG00000117054 ACADM 201450
ENSG00000137955 RABGGTB NA
ENSG00000057468 MSH4 NA
ENSG00000154027 AK5 NA
ENSG00000162614 NEXN 613876
ENSG00000162614 NEXN 613122
ENSG00000162616 DNAJB4 NA
ENSG00000137960 GIPC2 NA
ENSG00000122420 PTGFR NA
ENSG00000137976 DNASE2B NA
ENSG00000142871 CYR61 NA
ENSG00000137975 CLCA2 NA
ENSG00000016490 CLCA1 NA
ENSG00000097033 SH3GLB1 NA
ENSG00000153936 HS2ST1 NA
ENSG00000143013 LMO4 NA
ENSG00000065243 PKN2 NA
ENSG00000171492 LRRC8D NA
ENSG00000162664 ZNF326 NA
ENSG00000097046 CDC7 NA
ENSG00000137948 BRDT NA
ENSG00000122484 RPAP2 NA
ENSG00000122406 RPL5 612561
ENSG00000143033 MTF2 NA
ENSG00000117505 DR1 NA
ENSG00000137942 FNBP1L NA
ENSG00000117528 ABCD3 NA
ENSG00000152078 TMEM56 NA
ENSG00000122481 RWDD3 NA
ENSG00000117569 PTBP2 NA
ENSG00000162627 SNX7 NA
ENSG00000117600 NA NA
ENSG00000162688 AGL 232400
ENSG00000117620 SLC35A3 NA
ENSG00000122435 TRMT13 NA
ENSG00000137996 RTCA NA
ENSG00000079335 CDC14A NA
ENSG00000181656 GPR88 NA
ENSG00000162692 VCAM1 NA
ENSG00000162695 SLC30A7 NA
ENSG00000117543 DPH5 NA
ENSG00000170989 S1PR1 NA
ENSG00000198890 PRMT6 NA
ENSG00000162631 NTNG1 NA
ENSG00000134186 PRPF38B NA
ENSG00000116266 STXBP3 NA
ENSG00000031698 SARS NA
ENSG00000143126 CELSR2 NA
ENSG00000162650 ATXN7L2 NA
ENSG00000065135 GNAI3 602483
ENSG00000116337 AMPD2 NA
ENSG00000184371 CSF1 NA
ENSG00000168710 AHCYL1 NA
ENSG00000143093 STRIP1 NA
ENSG00000134255 CEPT1 NA
ENSG00000134216 CHIA NA
ENSG00000116459 ATP5F1 NA
ENSG00000116473 RAP1A NA
ENSG00000064703 DDX20 NA
ENSG00000134245 WNT2B NA
ENSG00000116489 CAPZA1 NA
ENSG00000155363 MOV10 NA
ENSG00000081026 MAGI3 NA
ENSG00000118655 DCLRE1B 305000
ENSG00000163349 HIPK1 NA
ENSG00000116774 OLFML3 NA
ENSG00000134200 TSHB 275100
ENSG00000173218 VANGL1 600145
ENSG00000173218 VANGL1 182940
ENSG00000163399 ATP1A1 NA
ENSG00000116824 CD2 NA
ENSG00000134247 PTGFRN NA
ENSG00000116830 TTF2 NA
ENSG00000198162 MAN1A2 NA
ENSG00000183508 FAM46C NA
ENSG00000065183 WDR3 NA
ENSG00000203857 HSD3B1 NA
ENSG00000092621 PHGDH 601815
ENSG00000173598 NUDT4 NA
ENSG00000117289 TXNIP NA
ENSG00000152022 LIX1L NA
ENSG00000131795 RBM8A NA
ENSG00000131779 PEX11B 614920
ENSG00000143127 ITGA10 NA
ENSG00000131788 PIAS3 NA
ENSG00000121848 RNF115 NA
ENSG00000073792 IGF2BP2 NA
ENSG00000116128 BCL9 NA
ENSG00000178096 BOLA1 NA
ENSG00000136631 VPS45 615285
ENSG00000117360 PRPF3 601414
ENSG00000163125 RPRD2 NA
ENSG00000143369 ECM1 247100
ENSG00000143382 ADAMTSL4 225200
ENSG00000143379 SETDB1 NA
ENSG00000143363 PRUNE NA
ENSG00000163141 BNIPL NA
ENSG00000143458 GABPB2 NA
ENSG00000163154 TNFAIP8L2 NA
ENSG00000163156 SCNM1 NA
ENSG00000143398 PIP5K1A NA
ENSG00000159352 PSMD4 NA
ENSG00000143373 ZNF687 NA
ENSG00000159377 PSMB4 NA
ENSG00000143375 CGN NA
ENSG00000143367 TUFT1 NA
ENSG00000143376 SNX27 NA
ENSG00000143450 OAZ3 NA
ENSG00000169509 CRCT1 NA
ENSG00000163206 SMCP NA
ENSG00000163207 IVL NA
ENSG00000163209 SPRR3 NA
ENSG00000203782 LOR 604117
ENSG00000203782 LOR 133200
ENSG00000163220 S100A9 NA
ENSG00000160679 CHTOP NA
ENSG00000143553 SNAPIN NA
ENSG00000169418 NPR1 NA
ENSG00000143578 CREB3L4 NA
ENSG00000143569 UBAP2L NA
ENSG00000143575 HAX1 610738
ENSG00000160712 IL6R 614752
ENSG00000160712 IL6R 614689
ENSG00000160716 CHRNB2 605375
ENSG00000160688 FLAD1 NA
ENSG00000160685 ZBTB7B NA
ENSG00000143537 ADAM15 NA
ENSG00000143590 EFNA3 NA
ENSG00000169242 EFNA1 NA
ENSG00000163462 TRIM46 NA
ENSG00000173171 MTX1 NA
ENSG00000143630 HCN3 NA
ENSG00000160752 FDPS NA
ENSG00000160753 RUSC1 NA
ENSG00000132676 DAP3 NA
ENSG00000132718 SYT11 NA
ENSG00000173080 RXFP4 NA
ENSG00000116586 LAMTOR2 610798
ENSG00000132698 RAB25 NA
ENSG00000160789 LMNA 613205
ENSG00000160789 LMNA 610140
ENSG00000160789 LMNA 605588
ENSG00000160789 LMNA 275210
ENSG00000160789 LMNA 248370
ENSG00000160789 LMNA 212112
ENSG00000160789 LMNA 181350
ENSG00000160789 LMNA 176670
ENSG00000160789 LMNA 159001
ENSG00000160789 LMNA 151660
ENSG00000160789 LMNA 115200
ENSG00000196189 SEMA4A 610283
ENSG00000196189 SEMA4A 610282
ENSG00000163467 TSACC NA
ENSG00000132702 HAPLN2 NA
ENSG00000132692 BCAN NA
ENSG00000143294 PRCC NA
ENSG00000198400 NTRK1 256800
ENSG00000198400 NTRK1 188550
ENSG00000158473 CD1D NA
ENSG00000158477 CD1A NA
ENSG00000158481 CD1C NA
ENSG00000158488 CD1E NA
ENSG00000163563 MNDA NA
ENSG00000163565 IFI16 NA
ENSG00000213088 DARC 611862
ENSG00000213088 DARC 611162
ENSG00000213088 DARC 110700
ENSG00000179639 FCER1A NA
ENSG00000196184 OR10J1 NA
ENSG00000132703 APCS NA
ENSG00000158716 DUSP23 NA
ENSG00000162728 KCNJ9 NA
ENSG00000018625 ATP1A2 602481
ENSG00000018625 ATP1A2 104290
ENSG00000132681 ATP1A4 NA
ENSG00000162734 PEA15 NA
ENSG00000162736 NCSTN 142690
ENSG00000171786 NHLH1 NA
ENSG00000026751 SLAMF7 NA
ENSG00000122224 LY9 NA
ENSG00000162755 KLHDC9 NA
ENSG00000158793 NIT1 NA
ENSG00000143222 UFC1 NA
ENSG00000143258 USP21 NA
ENSG00000143224 PPOX 176200
ENSG00000158864 NDUFS2 252010
ENSG00000158869 FCER1G NA
ENSG00000143252 SDHC 606864
ENSG00000143252 SDHC 605373
ENSG00000072694 FCGR2B 611162
ENSG00000072694 FCGR2B 152700
ENSG00000132185 FCRLA NA
ENSG00000081721 DUSP12 NA
ENSG00000118217 ATF6 NA
ENSG00000117143 UAP1 NA
ENSG00000162733 DDR2 271665
ENSG00000117152 RGS4 604906
ENSG00000117152 RGS4 181500
ENSG00000143228 NUF2 NA
ENSG00000185630 PBX1 NA
ENSG00000143198 MGST3 NA
ENSG00000143179 UCK2 NA
ENSG00000143194 MAEL NA
ENSG00000143190 POU2F1 NA
ENSG00000197965 MPZL1 NA
ENSG00000143164 DCAF6 NA
ENSG00000143155 TIPRL NA
ENSG00000213064 SFT2D2 NA
ENSG00000143178 TBX19 201400
ENSG00000143185 XCL2 NA
ENSG00000143153 ATP1B1 NA
ENSG00000117475 BLZF1 NA
ENSG00000120370 GORAB 231070
ENSG00000116132 PRRX1 202650
ENSG00000010932 FMO1 NA
ENSG00000076258 FMO4 NA
ENSG00000010165 METTL13 NA
ENSG00000197959 DNM3 NA
ENSG00000094975 SUCO NA
ENSG00000117560 FASLG 601859
ENSG00000117592 PRDX6 NA
ENSG00000076321 KLHL20 NA
ENSG00000117593 DARS2 611105
ENSG00000116161 CACYBP NA
ENSG00000213741 RPS29 NA
ENSG00000116183 PAPPA2 NA
ENSG00000075391 RASAL2 NA
ENSG00000116191 RALGPS2 NA
ENSG00000057252 SOAT1 NA
ENSG00000143337 TOR1AIP1 NA
ENSG00000135837 CEP350 NA
ENSG00000116260 QSOX1 NA
ENSG00000121454 LHX4 262700
ENSG00000143324 XPR1 NA
ENSG00000198216 CACNA1E NA
ENSG00000135829 DHX9 NA
ENSG00000135862 LAMC1 NA
ENSG00000058085 LAMC2 226700
ENSG00000116698 SMG7 NA
ENSG00000143344 RGL1 NA
ENSG00000198860 TSEN15 NA
ENSG00000121481 RNF2 NA
ENSG00000116668 SWT1 NA
ENSG00000116690 PRG4 208250
ENSG00000157181 C1orf27 NA
ENSG00000116711 PLA2G4A NA
ENSG00000150681 RGS18 NA
ENSG00000090104 RGS1 NA
ENSG00000127074 RGS13 NA
ENSG00000116741 RGS2 NA
ENSG00000116747 TROVE2 NA
ENSG00000134371 CDC73 608266
ENSG00000134371 CDC73 145001
ENSG00000134371 CDC73 145000
ENSG00000134376 CRB1 613835
ENSG00000134376 CRB1 600105
ENSG00000134376 CRB1 268000
ENSG00000134376 CRB1 172870
ENSG00000143355 LHX9 NA
ENSG00000151414 NEK7 NA
ENSG00000081237 PTPRC 608971
ENSG00000081237 PTPRC 126200
ENSG00000116833 NR5A2 NA
ENSG00000163362 C1orf106 NA
ENSG00000081277 PKP1 604536
ENSG00000134369 NAV1 NA
ENSG00000198700 IPO9 NA
ENSG00000134375 TIMM17A NA
ENSG00000176393 RNPEP NA
ENSG00000163435 ELF3 NA
ENSG00000163485 ADORA1 NA
ENSG00000159388 BTG2 NA
ENSG00000058668 ATP2B4 NA
ENSG00000122188 LAX1 NA
ENSG00000058673 ZC3H11A NA
ENSG00000143842 SOX13 NA
ENSG00000198625 MDM4 NA
ENSG00000163531 NFASC NA
ENSG00000184144 CNTN2 NA
ENSG00000133069 TMCC2 NA
ENSG00000117266 CDK18 NA
ENSG00000143466 IKBKE NA
ENSG00000136653 RASSF5 NA
ENSG00000162889 MAPKAPK2 NA
ENSG00000142224 IL19 NA
ENSG00000162891 IL20 NA
ENSG00000123836 PFKFB2 NA
ENSG00000123843 C4BPB NA
ENSG00000123838 C4BPA NA
ENSG00000196352 CD55 613793
ENSG00000117322 CR2 614699
ENSG00000117322 CR2 610927
ENSG00000117594 HSD11B1 604931
ENSG00000009790 TRAF3IP3 NA
ENSG00000117597 DIEXF NA
ENSG00000143469 SYT14 614229
ENSG00000054392 HHAT NA
ENSG00000117625 RCOR3 NA
ENSG00000082512 TRAF5 NA
ENSG00000143476 DTL NA
ENSG00000066027 PPP2R5A NA
ENSG00000162772 ATF3 NA
ENSG00000136643 RPS6KC1 NA
ENSG00000117707 PROX1 NA
ENSG00000143499 SMYD2 NA
ENSG00000117724 CENPF NA
ENSG00000082482 KCNK2 NA
ENSG00000136636 KCTD3 NA
ENSG00000067533 RRP15 NA
ENSG00000092969 TGFB2 614816
ENSG00000143353 LYPLAL1 NA
ENSG00000067704 IARS2 NA
ENSG00000116141 MARK1 NA
ENSG00000186205 MARC1 NA
ENSG00000136630 HLX NA
ENSG00000178395 C1orf65 NA
ENSG00000162909 CAPN2 NA
ENSG00000143756 FBXO28 NA
ENSG00000143753 DEGS1 NA
ENSG00000143771 CNIH4 NA
ENSG00000143819 EPHX1 607748
ENSG00000143819 EPHX1 132810
ENSG00000143801 PSEN2 613697
ENSG00000143801 PSEN2 606889
ENSG00000081692 JMJD4 NA
ENSG00000154342 WNT3A NA
ENSG00000143761 ARF1 NA
ENSG00000143774 GUK1 NA
ENSG00000198835 GJC2 613480
ENSG00000198835 GJC2 613206
ENSG00000198835 GJC2 608804
ENSG00000154358 OBSCN NA
ENSG00000196890 HIST3H2BB NA
ENSG00000116574 RHOU NA
ENSG00000135763 URB2 NA
ENSG00000143641 GALNT2 NA
ENSG00000135775 COG2 NA
ENSG00000135773 CAPN9 NA
ENSG00000116906 GNPAT 222765
ENSG00000135778 NTPCR NA
ENSG00000143674 NA NA
ENSG00000135750 KCNK1 NA
ENSG00000152904 GGPS1 NA
ENSG00000116957 TBCE 244460
ENSG00000116957 TBCE 241410
ENSG00000077522 ACTN2 612158
ENSG00000116984 MTR 603174
ENSG00000116984 MTR 601634
ENSG00000116984 MTR 250940
ENSG00000198626 RYR2 604772
ENSG00000198626 RYR2 600996
ENSG00000133019 CHRM3 100100
ENSG00000155816 FMN2 NA
ENSG00000054282 SDCCAG8 613615
ENSG00000179456 ZBTB18 NA
ENSG00000121644 DESI2 NA
ENSG00000162852 CNST NA
ENSG00000143653 SCCPDH NA
ENSG00000162711 NLRP3 607115
ENSG00000162711 NLRP3 191900
ENSG00000162711 NLRP3 120100
ENSG00000186891 TNFRSF18 NA
ENSG00000186827 TNFRSF4 NA
ENSG00000078808 SDF4 NA
ENSG00000160087 UBE2J2 NA
ENSG00000131584 ACAP3 NA
ENSG00000127054 CPSF3L NA
ENSG00000107404 DVL1 NA
ENSG00000160075 SSU72 NA
ENSG00000008130 NADK NA
ENSG00000008128 CDK11A NA
ENSG00000078369 GNB1 NA
ENSG00000157911 PEX10 614871
ENSG00000157911 PEX10 614870
ENSG00000157881 PANK4 NA
ENSG00000157873 TNFRSF14 NA
ENSG00000116213 WRAP73 NA
ENSG00000130764 LRRC47 NA
ENSG00000116198 CEP104 NA
ENSG00000198912 C1orf174 NA
ENSG00000131697 NPHP4 606996
ENSG00000131697 NPHP4 606966
ENSG00000116251 RPL22 NA
ENSG00000116237 ICMT NA
ENSG00000097021 ACOT7 NA
ENSG00000215788 TNFRSF25 NA
ENSG00000171680 PLEKHG5 611067
ENSG00000162408 NOL9 NA
ENSG00000049249 TNFRSF9 NA
ENSG00000116285 ERRFI1 NA
ENSG00000142599 RERE NA
ENSG00000074800 ENO1 NA
ENSG00000171603 CLSTN1 NA
ENSG00000178585 CTNNBIP1 NA
ENSG00000160049 DFFA NA
ENSG00000130940 CASZ1 NA
ENSG00000009724 MASP2 613791
ENSG00000116649 SRM NA
ENSG00000171824 EXOSC10 NA
ENSG00000198793 MTOR NA
ENSG00000116670 MAD2L2 NA
ENSG00000177000 MTHFR 603174
ENSG00000177000 MTHFR 601634
ENSG00000177000 MTHFR 601367
ENSG00000177000 MTHFR 236250
ENSG00000175206 NPPA 612201
ENSG00000120937 NPPB NA
ENSG00000132906 CASP9 NA
ENSG00000116809 ZBTB17 NA
ENSG00000173641 HSPB7 NA
ENSG00000185519 FAM131C NA
ENSG00000142627 EPHA2 116600
ENSG00000037637 FBXO42 NA
ENSG00000058453 CROCC NA
ENSG00000117122 MFAP2 NA
ENSG00000117118 SDHB 612359
ENSG00000117118 SDHB 606864
ENSG00000117118 SDHB 171300
ENSG00000117118 SDHB 115310
ENSG00000179051 RCC2 NA
ENSG00000127481 UBR4 NA
ENSG00000127463 EMC1 NA
ENSG00000211454 AKR7L NA
ENSG00000053371 AKR7A2 NA
ENSG00000077549 CAPZB NA
ENSG00000162542 TMCO4 NA
ENSG00000188784 PLA2G2E NA
ENSG00000188257 PLA2G2A NA
ENSG00000117215 PLA2G2D NA
ENSG00000090432 MUL1 NA
ENSG00000117245 KIF17 NA
ENSG00000075151 EIF4G3 NA
ENSG00000117298 ECE1 613870
ENSG00000076864 RAP1GAP NA
ENSG00000162552 WNT4 611812
ENSG00000162552 WNT4 277000
ENSG00000162552 WNT4 158330
ENSG00000169641 LUZP1 NA
ENSG00000179546 HTR1D NA
ENSG00000125944 HNRNPR NA
ENSG00000007968 E2F2 NA
ENSG00000117318 ID3 NA
ENSG00000117308 GALE 230350
ENSG00000117305 HMGCL 246450
ENSG00000179163 FUCA1 230000
ENSG00000142677 IL22RA1 NA
ENSG00000185436 IFNLR1 NA
ENSG00000020633 RUNX3 NA
ENSG00000117616 C1orf63 NA
ENSG00000117632 STMN1 NA
ENSG00000158022 TRIM63 NA
ENSG00000158062 UBXN11 NA
ENSG00000142751 GPN2 NA
ENSG00000131910 NR0B2 601665
ENSG00000158246 FAM46B NA
ENSG00000090020 SLC9A1 NA
ENSG00000142733 MAP3K6 NA
ENSG00000142748 FCN3 613860
ENSG00000158195 WASF2 NA
ENSG00000126705 AHDC1 NA
ENSG00000000938 FGR NA
ENSG00000126709 IFI6 NA
ENSG00000117748 RPA2 NA
ENSG00000158161 EYA3 NA
ENSG00000126698 DNAJC8 NA
ENSG00000120656 TAF12 NA
ENSG00000116350 SRSF4 NA
ENSG00000116353 MECR NA
ENSG00000162511 LAPTM5 NA
ENSG00000162512 SDC3 NA
ENSG00000084628 NKAIN1 NA
ENSG00000060688 SNRNP40 NA
ENSG00000121769 FABP3 NA
ENSG00000162517 PEF1 NA
ENSG00000121753 BAI2 NA
ENSG00000184007 PTP4A2 NA
ENSG00000175130 MARCKSL1 NA
ENSG00000160058 BSDC1 NA
ENSG00000176261 ZBTB8OS NA
ENSG00000162520 SYNC NA
ENSG00000134684 YARS 608323
ENSG00000160097 FNDC5 NA
ENSG00000004455 AK2 267500
ENSG00000116525 TRIM62 NA
ENSG00000134686 PHC2 NA
ENSG00000121904 CSMD2 NA
ENSG00000116560 SFPQ NA
ENSG00000126067 PSMB2 NA
ENSG00000142686 C1orf216 NA
ENSG00000092853 CLSPN NA
ENSG00000171812 COL8A2 609140
ENSG00000171812 COL8A2 136800
ENSG00000054116 TRAPPC3 NA
ENSG00000196182 STK40 NA
ENSG00000181817 LSM10 NA
ENSG00000116898 MRPS15 NA
ENSG00000119535 CSF3R 162830
ENSG00000163873 GRIK3 NA
ENSG00000163875 MEAF6 NA
ENSG00000163877 SNIP1 614501
ENSG00000134697 GNL2 NA
ENSG00000116922 C1orf109 NA
ENSG00000183431 SF3A3 NA
ENSG00000183386 FHL3 NA
ENSG00000185668 POU3F1 NA
ENSG00000116954 RRAGC NA
ENSG00000158315 RHBDL2 NA
ENSG00000090621 PABPC4 NA
ENSG00000163909 HEYL NA
ENSG00000116983 HPCAL4 NA
ENSG00000043514 TRIT1 NA
ENSG00000116990 MYCL NA
ENSG00000131238 PPT1 256730
ENSG00000049089 COL9A2 614284
ENSG00000049089 COL9A2 603932
ENSG00000049089 COL9A2 600204
ENSG00000179862 CITED4 NA
ENSG00000010803 SCMH1 NA
ENSG00000127129 EDN2 NA
ENSG00000127124 HIVEP3 NA
ENSG00000197273 GUCA2A NA
ENSG00000198815 FOXJ3 NA
ENSG00000117385 LEPRE1 610915
ENSG00000117394 SLC2A1 614847
ENSG00000117394 SLC2A1 612126
ENSG00000117394 SLC2A1 606777
ENSG00000117394 SLC2A1 601042
ENSG00000117395 EBNA1BP2 NA
ENSG00000066322 ELOVL1 NA
ENSG00000178922 HYI NA
ENSG00000196517 SLC6A9 NA
ENSG00000126106 TMEM53 NA
ENSG00000117425 PTCH2 605462
ENSG00000117425 PTCH2 155255
ENSG00000070785 EIF2B3 603896
ENSG00000132781 MUTYH 613659
ENSG00000132781 MUTYH 608456
ENSG00000070759 TESK2 NA
ENSG00000117450 PRDX1 NA
ENSG00000159588 CCDC17 NA
ENSG00000159592 GPBP1L1 NA
ENSG00000117461 PIK3R3 NA
ENSG00000132128 LRRC41 NA
ENSG00000162366 PDZK1IP1 NA
ENSG00000123473 STIL 612703
ENSG00000162373 BEND5 NA
ENSG00000185104 FAF1 NA
ENSG00000085832 EPS15 NA
ENSG00000078618 NRD1 NA
ENSG00000169213 RAB3B NA
ENSG00000117862 TXNDC12 NA
ENSG00000198841 KTI12 NA
ENSG00000085840 ORC1 224690
ENSG00000134744 ZCCHC11 NA
ENSG00000162377 COA7 NA
ENSG00000110700 RPS13 NA
ENSG00000121310 ECHDC2 NA
ENSG00000162385 MAGOH NA
ENSG00000157193 LRP8 608446
ENSG00000058804 NDC1 NA
ENSG00000058799 YIPF1 NA
ENSG00000081870 HSPB11 NA
ENSG00000162396 PARS2 NA
ENSG00000162402 USP24 NA
ENSG00000162407 PPAP2B NA
ENSG00000187889 C1orf168 NA
